Symbol 1,Symbol 2,APR,SHARPE,
COST,PYPL,-0.0461612714006483,-0.106003683859777,-544.871578947368
NOC,TMUS,-0.0460754046980211,-0.203474843436504,-596.605712631579
AVGO,NFLX,-0.0460182657372505,-0.111381471877284,-724.404637368421
CME,MDT,-0.0458142525764934,-0.310517711845018,-293.746501526316
AXP,C,-0.0457448094901044,-0.247673949463803,-206.115263157895
CI,NKE,-0.0456377354435977,-0.179650155254124,-371.009498105263
BDX,UNH,-0.0451863431118731,-0.325447967182938,-729.807571052632
DIS,USB,-0.0451296705747675,-0.227502974120235,-151.214210526316
CMCSA,VRTX,-0.0450843875419805,-0.18359204112105,-306.631052631579
CAT,PFE,-0.0444818514603914,-0.163563421727823,-261.207894736842
CVS,LMT,-0.0440955850273289,-0.267688007181799,-523.635238947368
DIS,KO,-0.04399170682721,-0.242831295621167,-163.501453947368
ADP,TXN,-0.0439567562298963,-0.288378574796063,-376.167612631579
ADP,CMCSA,-0.0434649200250796,-0.282806277179013,-254.64656
BLK,JNJ,-0.0432999844434273,-0.314088209263524,-811.084557894737
AAPL,ADP,-0.0432573210168721,-0.209140143550995,-354.291296842105
GILD,ISRG,-0.0427928007782988,-0.155730858647501,-270.503503894737
QCOM,UNH,-0.0427209979173965,-0.144633035840357,-616.482851578947
CME,CVS,-0.042051794779972,-0.239950908076358,-294.648656842105
AMZN,PM,-0.0420475887913105,-0.141103118211124,-216.636236842105
LMT,SPGI,-0.0420134872820384,-0.208078233546896,-763.721554736842
MMM,UNH,-0.0419294080660246,-0.271254419891932,-623.398434736842
LOW,UNH,-0.041893833329175,-0.25590431109898,-669.704224210526
AXP,CRM,-0.0415626510643152,-0.0678322462575267,-329.663157894737
BMY,ISRG,-0.0414246446849754,-0.177351162013498,-284.64
DIS,WFC,-0.041377217191225,-0.141100375086572,-143.791052631579
INTC,VRTX,-0.0411516998573585,-0.108465426348426,-305.851578947368
TMO,UNH,-0.0410449355805613,-0.2642517328699,-1020.35029894737
CVS,UNP,-0.0410121800229539,-0.259773246045022,-309.720241052632
SPGI,VRTX,-0.0405623012058812,-0.177785526218916,-598.867894736842
AMT,BLK,-0.0403382753490889,-0.248268274882143,-887.808274210526
AMD,PM,-0.0402723624346372,-0.0406905609749878,-197.581052631579
CVX,UNP,-0.0402515005596987,-0.207433635434937,-384.430241052632
ADI,UNH,-0.0402203581935469,-0.228955009277863,-640.495248421053
CVX,MMC,-0.040210063519282,-0.188865820849169,-321.691052631579
AMD,XOM,-0.0400242484643429,-0.0130222380745605,-190.822105263158
KO,TMUS,-0.039850470961203,-0.253370057311105,-193.765664473684
CVS,GILD,-0.0398095128953713,-0.25940024638363,-154.756661789474
ADBE,PYPL,-0.039766787262179,-0.115066473381949,-480.235789473684
HON,T,-0.0395939769211728,-0.280967536456941,-208.805789473684
BLK,IBM,-0.039016459819882,-0.247347183954967,-774.335610526316
MMC,UNH,-0.0389003427819188,-0.313003983991951,-636.539487368421
AVGO,DIS,-0.0385841296974089,-0.134080591768998,-639.260953157895
ANTM,NKE,-0.0384775053430546,-0.162861880048466,-597.208764421053
PM,VZ,-0.0384162115708396,-0.326729001710949,-153.390526315789
CAT,UNH,-0.0383559956656185,-0.173484561025576,-693.486329473684
BDX,ISRG,-0.038159575347139,-0.138267264541298,-455.995978421053
ANTM,C,-0.0378958607611374,-0.143992009055594,-532.281592631579
BLK,CB,-0.0377814396203131,-0.234997264687426,-837.455682105263
LMT,TXN,-0.0376505792940269,-0.167431295112706,-593.005765263158
ADI,PFE,-0.0375636611244583,-0.140285103760455,-208.216813684211
C,CVX,-0.0374506031958081,-0.202664530466703,-218.022631578947
QCOM,WFC,-0.0373666478775333,-0.0489814787551021,-175.230732631579
CME,SCHW,-0.0371885328060725,-0.208345913121291,-266.238130526316
GS,NOC,-0.0367582147327897,-0.156239975339393,-767.854837368421
RTX,UNH,-0.0366389411615783,-0.192731503361917,-577.671592631579
TMUS,UNH,-0.0363708042142107,-0.227646311015753,-615.307382105263
CVS,MSFT,-0.0354607796448814,-0.143965808191328,-354.382105263158
ACN,NOC,-0.0354049650103141,-0.177849794251046,-755.735712631579
BDX,TXN,-0.0352840257145631,-0.147673284583459,-409.619662631579
UNH,VZ,-0.035255633602573,-0.268275825006888,-533.853697894737
CCI,UNH,-0.034964764279383,-0.233079684386995,-657.55621631579
ADP,MMM,-0.0348324920763466,-0.257294511849292,-353.381296842105
ADP,CRM,-0.0348180929317515,-0.0857758180634407,-386.401823157895
CVX,MO,-0.034713529222879,-0.168159129167707,-217.144393789474
ADI,VRTX,-0.034232839353564,-0.104217754919107,-422.462603157895
AVGO,QCOM,-0.0337563267734439,-0.19828202837119,-670.700633157895
CVS,MDLZ,-0.0337452129711125,-0.245438975592616,-154.879473684211
CME,SBUX,-0.033663622606156,-0.166294066496179,-276.762341052632
ACN,LMT,-0.0335446572139969,-0.173478998334222,-721.258396842105
AMD,CVS,-0.0334540151697015,-0.0372754014282431,-188.485789473684
ANTM,CMCSA,-0.033328949997831,-0.153572613523949,-524.074224210526
LIN,UNH,-0.0332372044013658,-0.225617947777616,-796.639012631579
AXP,NOW,-0.0331490277726352,-0.0253793432507739,-628.177368421053
BAC,CRM,-0.0330893616403574,-0.0328558183277631,-207.575287157895
BLK,T,-0.033041326603749,-0.180697071927492,-656.516663157895
AMZN,AXP,-0.033025361242804,-0.0606669586267849,-270.343605263158
AVGO,C,-0.0327790798062675,-0.0871957218625226,-587.088847894737
AMD,ANTM,-0.032678920434929,-0.0195773478890372,-577.454750526316
DUK,PFE,-0.032387287252185,-0.165258617532201,-157.692105263158
CVX,ZTS,-0.0322835903055613,-0.089969940117853,-333.873157894737
AXP,MDT,-0.0320672898194306,-0.13965459302792,-249.156265736842
CME,TXN,-0.032055821587446,-0.151288432093868,-364.019183157895
CVS,NOW,-0.0319202097621498,-0.0465430486723384,-565.374736842105
MDT,NOC,-0.0319042076602398,-0.156523044711237,-557.210399421053
ADP,AMZN,-0.0318633052609909,-0.116906877209961,-327.082270526316
BLK,VZ,-0.0318522009998008,-0.206899557575806,-686.668768421053
CVS,SPGI,-0.0318456401080583,-0.150391236517617,-427.342105263158
MA,PFE,-0.0318010813154113,-0.0882377425373404,-390.423157894737
PYPL,SPGI,-0.0317442384652361,-0.048554049064342,-413.702631578947
CSCO,VRTX,-0.03170959234523,-0.0963128274020184,-309.511578947368
PLD,VRTX,-0.0316232456014476,-0.123404906352301,-384.800317526316
AAPL,ANTM,-0.031521691666096,-0.0897221493403204,-623.718961052632
NOW,UNH,-0.0312060443164729,-0.0805156693612391,-954.933171578947
ABT,CVX,-0.0310321592857812,-0.084093280926824,-279.012631578947
PFE,UNP,-0.0308275208275093,-0.121790511385944,-267.000241052632
ANTM,TXN,-0.0306169295672257,-0.118354950682617,-645.595276842105
AMZN,CVX,-0.0304139442620641,-0.0486911074889272,-282.250973684211
CVX,V,-0.0303100906065938,-0.098972873379305,-371.687368421053
LIN,VRTX,-0.0302519193706819,-0.11833018182493,-578.606367368421
ISRG,PYPL,-0.0300503789301305,-0.0357781861281327,-289.363157894737
AMT,CVS,-0.0298939335650127,-0.118148778191423,-345.434768947368
MS,PYPL,-0.0297240325256368,-0.0167284046714007,-159.982105263158
C,JPM,-0.0294113897063937,-0.30396983064162,-172.554210526316
SPGI,UNH,-0.0291595776617177,-0.199172826582425,-816.90054
ISRG,NOC,-0.0288608738221371,-0.0669228986508955,-673.859396842105
BMY,GE,-0.0286733097923855,-0.0878706787786723,-147.646315789474
ADI,AVGO,-0.0286065047976888,-0.23803945165881,-694.71303
BA,CVX,-0.0285719037939639,-0.0576391747341201,-301.598947368421
MMM,PFE,-0.0282582402684435,-0.123836555938283,-191.12
ANTM,GS,-0.0281337886770656,-0.107064468720926,-785.967033157895
CVS,MO,-0.0280908894996227,-0.152168985971059,-142.434393789474
NFLX,UNH,-0.0280688175939652,-0.02425686035703,-670.186855789474
HON,RTX,-0.0279866601995339,-0.222095608584314,-282.775789473684
CME,GE,-0.0279540928464036,-0.0757469547195539,-273.401814736842
ABT,AVGO,-0.0276068365481297,-0.10043187636815,-648.078847894737
CVX,ORCL,-0.0275922990676996,-0.0670914609157731,-238.286842105263
CMCSA,RTX,-0.0275689859846837,-0.137952278454503,-135.962631578947
BLK,CI,-0.0275451051342549,-0.136992495495669,-892.398989473684
MDT,RTX,-0.0274038230034209,-0.170623625227829,-187.211002578947
BAC,NFLX,-0.0274004791246238,0.0135934227874053,-221.343181894737
ADP,NFLX,-0.0271499408381882,-0.0207023648016167,-400.169717894737
PFE,SBUX,-0.0271267397270374,-0.0771341953128917,-126.649473684211
GS,VRTX,-0.0270671832693496,-0.0480339476873644,-568.523861578947
BAC,NOC,-0.0268330086459136,-0.0945468513729001,-498.827315578947
BLK,WMT,-0.026734820978415,-0.135539857154928,-759.069294736842
CVX,LOW,-0.0265759331327323,-0.0518920555995918,-354.855789473684
AXP,WMT,-0.0255768071222477,-0.0356305347864776,-279.498421052632
IBM,UNH,-0.0255183522602961,-0.122628928255261,-621.52054
MCD,PFE,-0.0251183473393133,-0.0954110871744911,-294.4533
CI,JPM,-0.0248250251771452,-0.0873867771590526,-379.267063157895
C,CB,-0.0246791450998131,-0.144211045023995,-251.139018947368
LMT,MCD,-0.0246123740922511,-0.141428894530286,-673.552749473684
CAT,WFC,-0.0243198996369923,-0.0749474923865339,-252.234210526316
CVX,TMO,-0.0241999380425602,-0.0249522866680604,-705.501864210526
PYPL,TMO,-0.0240676932877431,-0.0127182464103756,-617.152390526316
NKE,RTX,-0.023994989076119,-0.0767993368699184,-209.097171789474
INTU,T,-0.0239694516852542,-0.0427406470669945,-415.518421052632
CVX,SO,-0.0239539967588477,-0.091181323462344,-240.041578947368
IBM,ISRG,-0.0237634967989385,-0.0496456118994817,-347.708947368421
CVS,RTX,-0.0236826630598969,-0.103462476385374,-188.113157894737
ACN,CVS,-0.0235383257602613,-0.11424140530117,-384.878947368421
AVGO,CVX,-0.0234961382912208,-0.0421273263197746,-705.742005789474
NKE,XOM,-0.0234933699017347,-0.0170651955760983,-210.576119157895
MDT,UNH,-0.0234125032150884,-0.138213673120455,-575.912068894737
CMCSA,VZ,-0.0232047795566006,-0.152945659762493,-92.1447368421053
AXP,TXN,-0.023181865947818,-0.0431434704756233,-319.428947368421
LMT,PLD,-0.0231672734646083,-0.100851386631727,-549.653977526316
NOC,UNH,-0.0229764536047993,-0.108037705657239,-947.670989473684
PM,UNP,-0.0229351734665262,-0.132170053725403,-318.815504210526
MO,PFE,-0.0228830906333859,-0.0634120018596249,-99.7143937894737
PM,TMUS,-0.0227051063878098,-0.0839763626352199,-234.844210526316
AMD,PFE,-0.022695713730281,0.0350054524986541,-145.765789473684
BAC,C,-0.0217803634314979,-0.201157393870957,-84.0273924210526
PLD,UNH,-0.0216646175017232,-0.119928474267372,-602.832962789474
CVS,TMO,-0.0213070008816854,-0.0559653826684718,-630.791864210527
PFE,PLD,-0.0207987331383103,-0.0660776982828515,-170.554528052632
CCI,PFE,-0.0205827475957889,-0.0617294819715571,-225.277781578947
CVS,VZ,-0.0203815002341839,-0.126810454342909,-144.295263157895
CMCSA,CVS,-0.0203504860960401,-0.0917918356518249,-135.105263157895
LMT,LOW,-0.0202983885821245,-0.0598548897327125,-616.525238947368
GE,RTX,-0.0201904565294252,-0.0756216681218144,-166.866315789474
MS,VRTX,-0.020166440774137,-0.00986057617545835,-345.147368421053
LIN,PFE,-0.0201366849006522,-0.0621565927059603,-364.360577894737
CI,CSCO,-0.0199802121004533,-0.0472647911714291,-300.755484210526
CVX,VZ,-0.0199513567735843,-0.0690378014987846,-219.005263157895
CVS,DIS,-0.0197582675010416,-0.0562682536574349,-195.484736842105
PFE,PG,-0.0195957885629112,-0.0712706258176923,-192.538421052632
CVS,MMC,-0.0194916973221334,-0.0859889985672278,-246.981052631579
CMCSA,LMT,-0.0193715138886725,-0.0639868148389704,-471.484712631579
PFE,VZ,-0.0193409740704087,-0.0687481278208458,-101.575263157895
LOW,MMC,-0.0192447916001737,-0.0879608373590405,-339.871052631579
CB,WMT,-0.0191762225439897,-0.0669409079227508,-324.522176842105
